record_id,event_label,date,region,top1_emotion,top1_score,emotion_group,is_flood_window
SUB_0001,Flood 2022,2022-08-08,강원도,Anxiety/Worried,0.6454359531402588,anxiety_fear,True
SUB_0002,Flood 2022,2022-08-08,충청남도,Sad/Disappointed,0.7410204619169236,sadness_distress,True
SUB_0003,Flood 2022,2022-08-09,경기도,Anxiety/Worried,0.9262716770172119,anxiety_fear,True
SUB_0004,Flood 2022,2022-08-09,경기도,Sad/Disappointed,0.7428994238376618,sadness_distress,True
SUB_0005,Flood 2022,2022-08-09,경기도,Sad/Disappointed,0.9073259234428406,sadness_distress,True
SUB_0006,Flood 2022,2022-08-09,경기도,Complaint,0.6627949953079224,complaint_dissatisfaction,True
SUB_0007,Flood 2022,2022-08-09,경기도,Anxiety/Worried,0.7136300712823869,anxiety_fear,True
SUB_0008,Flood 2022,2022-08-09,경기도,Sad/Disappointed,0.9073259234428406,sadness_distress,True
SUB_0009,Flood 2022,2022-08-09,경기도,Anxiety/Worried,0.7638390064239502,anxiety_fear,True
SUB_0010,Flood 2022,2022-08-10,경기도,Expectation,0.8574231863021851,expectation_other,True
SUB_0011,Flood 2022,2022-08-10,경기도,Anxiety/Worried,0.6330946683883667,anxiety_fear,True
SUB_0012,Flood 2022,2022-08-10,경기도,Anxiety/Worried,0.9325143694877625,anxiety_fear,True
SUB_0013,Flood 2022,2022-08-10,서울특별시,Anxiety/Worried,0.7890684604644775,anxiety_fear,True
SUB_0014,Flood 2022,2022-08-10,서울특별시,Complaint,0.9007717669010162,complaint_dissatisfaction,True
SUB_0015,Flood 2022,2022-08-11,경기도,Sadness,0.8321765899658203,sadness_distress,True
SUB_0016,Flood 2022,2022-08-11,경기도,Anxiety/Worried,0.8803725242614746,anxiety_fear,True
SUB_0017,Flood 2022,2022-08-11,경상북도,Anger/Rage,0.9851900637149811,anger_mistrust,True
SUB_0018,Flood 2022,2022-08-11,서울특별시,Anxiety/Worried,0.8128151297569275,anxiety_fear,True
SUB_0019,Flood 2022,2022-08-11,서울특별시,Anger/Rage,0.5825303196907043,anger_mistrust,True
SUB_0020,Flood 2022,2022-08-11,울산광역시,Anger/Rage,0.9621022045612335,anger_mistrust,True
SUB_0021,Flood 2022,2022-08-11,인천광역시,Anxiety/Worried,0.8273256450891495,anxiety_fear,True
SUB_0022,Flood 2022,2022-08-11,전라북도,Complaint,0.7030489563941955,complaint_dissatisfaction,True
SUB_0023,Flood 2022,2022-08-12,경기도,Suspicion/Mistrust,0.7147217988967896,anger_mistrust,True
SUB_0024,Flood 2022,2022-08-12,경기도,Complaint,0.966858446598053,complaint_dissatisfaction,True
SUB_0025,Flood 2022,2022-08-12,서울특별시,Anxiety/Worried,0.7917411178350449,anxiety_fear,True
SUB_0026,Flood 2022,2022-08-12,전라북도,Sad/Disappointed,0.821658194065094,sadness_distress,True
SUB_0027,Flood 2022,2022-08-13,경기도,Anxiety/Worried,0.798223078250885,anxiety_fear,True
