record_id,event_label,date,region,top1_emotion,top1_score,emotion_group,is_flood_window
SYN_0001,Ordinary,2023-04-23,부산광역시,Anger/Rage,0.927783,anger_mistrust,False
SYN_0002,Flood 2022,2022-03-10,서울특별시,Sad/Disappointed,0.884901,sadness_distress,True
SYN_0003,Ordinary,2023-01-10,경상남도,Sad/Disappointed,0.74817,sadness_distress,True
SYN_0004,Flood 2022,2023-11-08,전라남도,Embarrassment/Distress,0.912015,sadness_distress,True
SYN_0005,Flood 2023,2022-11-25,경상북도,Gratitude,0.794017,expectation_other,True
SYN_0006,Ordinary,2023-08-28,광주광역시,Absurd,0.883559,expectation_other,True
SYN_0007,Flood 2023,2022-02-19,충청북도,Sad/Disappointed,0.942973,sadness_distress,True
SYN_0008,Ordinary,2022-05-23,대구광역시,Sadness,0.569274,sadness_distress,False
SYN_0009,Flood 2022,2023-06-27,울산광역시,Gratitude,0.877695,expectation_other,False
SYN_0010,Flood 2023,2022-08-26,충청남도,Suspicion/Mistrust,0.756605,anger_mistrust,False
SYN_0011,Flood 2022,2022-12-04,경상남도,Sadness,0.75931,sadness_distress,False
SYN_0012,Flood 2023,2023-05-04,충청북도,Anxiety/Worried,0.916378,anxiety_fear,False
SYN_0013,Ordinary,2022-03-12,광주광역시,Irritation,0.916194,expectation_other,False
SYN_0014,Ordinary,2022-10-10,충청남도,Sadness,0.850298,sadness_distress,False
SYN_0015,Flood 2022,2023-08-31,경상북도,Irritation,0.553239,expectation_other,True
SYN_0016,Ordinary,2023-05-01,부산광역시,Sadness,0.893521,sadness_distress,True
SYN_0017,Flood 2023,2023-01-05,세종특별자치시,Gratitude,0.611511,expectation_other,False
SYN_0018,Flood 2023,2023-05-03,울산광역시,Anger/Rage,0.798704,anger_mistrust,False
SYN_0019,Ordinary,2023-02-24,울산광역시,Absurd,0.793575,expectation_other,False
SYN_0020,Ordinary,2022-08-10,세종특별자치시,Gratitude,0.742156,expectation_other,False
SYN_0021,Flood 2022,2022-07-21,대전광역시,Suspicion/Mistrust,0.925497,anger_mistrust,False
SYN_0022,Ordinary,2022-02-12,전라북도,Anxiety/Worried,0.679181,anxiety_fear,False
SYN_0023,Flood 2023,2022-04-03,서울특별시,Expectation,0.894915,expectation_other,True
